graph_name,mean_fitness_value,std_fitness_value,best_fitness_value,graph_order,graph_size,elapsed_time(microsecond),matches_heuristic,heuristic_matched,is_valid,density,is_dense,pli_vertex,pli_edge,pli_density,pli_TRD_number,pli_time_miliseconds,pli_status,gap_relative(%)
nnc261.txt,93.0,1.0540925533894585,94,261,794,8367743,no,none,yes,0.0234011,False,261,794,0.0234,92.0,35600.0,OPTIMAL,2.1739130434782608
dwt__209.txt,73.1,1.1972189997378664,76,209,767,8322480,no,none,yes,0.0352871,False,209,767,0.03529,68.0,302052.0,BEST FOUND,11.76470588235294
can__229.txt,88.6,2.170509412813297,93,229,774,9393286,no,none,yes,0.0296484,False,229,774,0.02965,78.0,170063.0,OPTIMAL,19.230769230769234
lshp_265.txt,127.8,2.201009869229224,132,265,744,9971964,no,none,yes,0.0212693,False,265,744,0.02127,123.0,300796.0,BEST FOUND,7.317073170731707
bcspwr05.txt,309.9,2.233582075700117,313,443,590,16898501,no,none,yes,0.00602637,False,443,590,0.00603,293.0,9410.0,OPTIMAL,6.825938566552901
impcol_e.txt,46.2,0.4216370213557838,47,225,1187,7572943,no,none,yes,0.0471032,False,225,1187,0.0471,44.0,247.0,OPTIMAL,6.8181818181818175
ash292.txt,111.4,2.11869981094276,115,292,958,13834054,no,none,yes,0.0225486,False,292,958,0.02255,102.0,301857.0,BEST FOUND,12.745098039215685
lund_b.txt,31.9,1.370320319406299,34,147,1147,4427766,no,none,yes,0.106887,False,147,1147,0.10689,30.0,301441.0,BEST FOUND,13.333333333333334
lund_a.txt,31.3,0.8232726023485646,32,147,1151,4844228,no,none,yes,0.107259,False,147,1151,0.10726,30.0,301435.0,BEST FOUND,6.666666666666667
impcol_d.txt,152.6,3.806427312965381,158,425,1267,16781309,no,none,yes,0.0140622,False,425,1267,0.01406,136.0,195001.0,OPTIMAL,16.176470588235293
dwt__310.txt,108.5,1.0801234497346406,110,310,1069,11595773,no,none,yes,0.0223197,False,310,1069,0.02232,108.0,301524.0,BEST FOUND,1.8518518518518516
rw496.txt,230.1,2.643650674519782,235,496,1423,24582197,no,none,yes,0.0115917,False,496,1423,0.01159,235.0,300612.0,BEST FOUND,0.0
gre__343.txt,137.4,2.22111083319436,141,343,1092,15134095,no,none,yes,0.018618,False,343,1092,0.01862,131.0,300716.0,BEST FOUND,7.633587786259542
olm500.txt,250.2,0.4216370213557856,251,500,997,22527638,no,none,yes,0.00799198,False,500,997,0.00799,253.0,301527.0,BEST FOUND,-0.7905138339920948
rdb450.txt,233.8,2.740640638812596,237,450,1065,22953952,no,none,yes,0.0105419,False,450,1065,0.01054,238.0,300475.0,BEST FOUND,-0.42016806722689076
tols90.txt,3.0,0.0,3,90,1449,2388198,no,none,yes,0.361798,False,90,1449,0.3618,3.0,100.0,OPTIMAL,0.0
lshp_406.txt,190.7,2.3593784492248515,196,406,1155,19361123,no,none,yes,0.0140485,False,406,1155,0.01405,196.0,300602.0,BEST FOUND,0.0
662_bus.txt,451.4,2.06559111797729,455,662,906,36085812,no,none,yes,0.00414094,False,662,906,0.00414,423.0,123553.0,OPTIMAL,7.5650118203309695
can__256.txt,43.0,1.2472191289246468,45,256,1330,8230040,no,none,yes,0.0407475,False,256,1330,0.04075,32.0,330.0,OPTIMAL,40.625
ck400.txt,210.6,1.2649110640673509,212,400,1244,14508748,no,none,yes,0.015589,False,400,1244,0.01559,202.0,301774.0,BEST FOUND,4.9504950495049505
dwt__361.txt,130.8,2.149935399546277,136,361,1296,16048800,no,none,yes,0.0199446,False,361,1296,0.01994,129.0,300940.0,BEST FOUND,5.426356589147287
shl____0.txt,237.7,6.18331087147762,248,663,1682,29174111,no,none,yes,0.00766451,False,663,1682,0.00766,207.0,2793.0,OPTIMAL,19.806763285024154
shl__400.txt,246.1,2.282785822435189,249,663,1709,27876134,no,none,yes,0.00778754,False,663,1709,0.00779,197.0,1622.0,OPTIMAL,26.39593908629442
qh768.txt,461.2,1.3984117975602062,463,768,1322,33262439,no,none,yes,0.00448854,False,768,1322,0.00449,428.0,4262.0,OPTIMAL,8.177570093457943
dwt__346.txt,138.5,1.4337208778404351,141,346,1440,3646938,no,none,yes,0.0241267,False,346,1440,0.02413,127.0,301610.0,BEST FOUND,11.023622047244094
dwt__492.txt,215.2,0.9189365834726808,217,492,1332,22274318,no,none,yes,0.0110278,False,492,1332,0.01103,198.0,301463.0,BEST FOUND,9.595959595959595
dwt__193.txt,32.0,0.6666666666666665,33,193,1650,6239416,no,none,yes,0.0890544,False,193,1650,0.08905,27.0,856.0,OPTIMAL,22.22222222222222
mcca.txt,93.0,0.0,93,180,1680,5480023,no,none,yes,0.104283,False,180,1680,0.10428,93.0,525.0,OPTIMAL,0.0
bcsstk04.txt,17.1,1.1972189997378646,19,132,1758,4209391,no,none,yes,0.203331,False,132,1758,0.20333,16.0,5928.0,OPTIMAL,18.75
tols340.txt,153.0,0.0,153,340,1649,10406958,yes,h2,yes,0.0286136,False,340,1649,0.02861,153.0,297.0,OPTIMAL,0.0
nos6.txt,413.2,3.6757463338907206,422,675,1290,36017534,no,none,yes,0.00567095,False,675,1290,0.00567,409.0,300640.0,BEST FOUND,3.1784841075794623
dwt__419.txt,141.7,2.311805451253296,146,419,1572,16648224,no,none,yes,0.0179511,False,419,1572,0.01795,127.0,301292.0,BEST FOUND,14.960629921259844
steam1.txt,52.5,3.92286743197994,59,240,1761,7517536,no,none,yes,0.0614017,False,240,1761,0.0614,39.0,301909.0,BEST FOUND,51.28205128205128
fs_680_1.txt,322.0,0.0,322,680,1464,20503750,no,none,yes,0.00634151,False,680,1464,0.00634,322.0,336.0,OPTIMAL,0.0
fs_680_2.txt,322.0,0.0,322,680,1464,21089597,no,none,yes,0.00634151,False,680,1464,0.00634,322.0,351.0,OPTIMAL,0.0
fs_680_3.txt,322.0,0.0,322,680,1464,22424070,no,none,yes,0.00634151,False,680,1464,0.00634,322.0,324.0,OPTIMAL,0.0
gre__512.txt,202.0,1.8257418583505536,206,512,1680,25297176,no,none,yes,0.0128425,False,512,1680,0.01284,194.0,300623.0,BEST FOUND,6.185567010309279
bcsstk02.txt,3.0,0.0,3,66,2145,1750610,no,none,yes,1.0,True,66,2145,1.0,3.0,210.0,OPTIMAL,0.0
ck656.txt,417.0,1.0540925533894625,419,656,1628,34321669,no,none,yes,0.00757773,False,656,1628,0.00758,407.0,300929.0,BEST FOUND,2.9484029484029484
fidap001.txt,26.6,0.9660917830792962,28,216,2079,6819471,no,none,yes,0.0895349,False,216,2079,0.08953,24.0,1163.0,OPTIMAL,16.666666666666664
pores_3.txt,237.9,1.3703203194062974,240,532,1850,20295892,no,none,yes,0.0130977,False,532,1850,0.0131,238.0,301429.0,BEST FOUND,0.8403361344537815
str____0.txt,129.0,3.887301263230211,135,363,2446,12362401,no,none,yes,0.0372281,False,363,2446,0.03723,115.0,25597.0,OPTIMAL,17.391304347826086
young1c.txt,522.2,3.489667287547311,528,841,1624,44834965,no,none,yes,0.0045977,False,841,1624,0.0046,496.0,300895.0,BEST FOUND,6.451612903225806
young2c.txt,521.3,3.334999583541526,525,841,1624,44879450,no,none,yes,0.0045977,False,841,1624,0.0046,496.0,300498.0,BEST FOUND,5.846774193548387
utm300.txt,78.7,1.1595018087284066,81,300,2191,14550665,no,none,yes,0.0488517,False,300,2191,0.04885,67.0,1451.0,OPTIMAL,20.8955223880597
young3c.txt,508.1,2.7668674625929515,512,841,1671,45615940,no,none,yes,0.00473076,False,841,1671,0.00473,493.0,300569.0,BEST FOUND,3.8539553752535496
nos2.txt,659.3,2.7100635498903896,664,957,1590,13854678,no,none,yes,0.00347582,False,957,1590,0.00348,656.0,300772.0,BEST FOUND,1.2195121951219512
nnc666.txt,207.1,0.3162277660168391,208,666,2148,27550581,no,none,yes,0.00969993,False,666,2148,0.0097,203.0,300875.0,BEST FOUND,2.4630541871921183
hor__131.txt,132.8,1.9888578520235072,136,434,2138,16283988,no,none,yes,0.0227541,False,434,2138,0.02275,118.0,300983.0,BEST FOUND,15.254237288135593
nos7.txt,367.5,4.27525177946022,374,729,1944,38400943,no,none,yes,0.00732601,False,729,1944,0.00733,355.0,300532.0,BEST FOUND,5.352112676056338
nos5.txt,149.3,2.002775851439968,152,468,2352,20174099,no,none,yes,0.0215231,False,468,2352,0.02152,135.0,300619.0,BEST FOUND,12.592592592592592
cdde1.txt,601.2,3.5213633723317765,608,961,1860,53265428,no,none,yes,0.00403226,False,961,1860,0.00403,562.0,301137.0,BEST FOUND,8.185053380782918
cdde2.txt,598.9,4.357624225296268,606,961,1860,14529896,no,none,yes,0.00403226,False,961,1860,0.00403,562.0,300886.0,BEST FOUND,7.829181494661921
cdde3.txt,601.5,3.3747427885527457,606,961,1860,53348216,no,none,yes,0.00403226,False,961,1860,0.00403,562.0,300997.0,BEST FOUND,7.829181494661921
cdde4.txt,599.4,4.926120853842977,609,961,1860,53289317,no,none,yes,0.00403226,False,961,1860,0.00403,562.0,301066.0,BEST FOUND,8.362989323843415
cdde5.txt,599.6,6.915361322607969,608,961,1860,53217241,no,none,yes,0.00403226,False,961,1860,0.00403,562.0,300942.0,BEST FOUND,8.185053380782918
cdde6.txt,600.9,3.8715486421959233,608,961,1860,53414915,no,none,yes,0.00403226,False,961,1860,0.00403,562.0,300649.0,BEST FOUND,8.185053380782918
fs_541_1.txt,3.0,0.0,3,541,2466,17602456,yes,h2,yes,0.0168823,False,541,2466,0.01688,3.0,298.0,OPTIMAL,0.0
fs_541_2.txt,3.0,0.0,3,541,2466,17667009,yes,h2,yes,0.0168823,False,541,2466,0.01688,3.0,294.0,OPTIMAL,0.0
fs_541_3.txt,3.0,0.0,3,541,2466,17610600,yes,h2,yes,0.0168823,False,541,2466,0.01688,3.0,292.0,OPTIMAL,0.0
fs_541_4.txt,3.0,0.0,3,541,2466,17626154,yes,h2,yes,0.0168823,False,541,2466,0.01688,3.0,301.0,OPTIMAL,0.0
